title,location,minimum_qual,preferred_qual,responsibilities
Software Engineer,"Pittsburgh, PA","Masters degree or doctorate in fields related to computer science and engineering
5+ years of experience using C++ for software development
Hands-on experience with computer graphics, rendering, game engines
Hands-on experience with scientific and/or industrial data capture hardware and software
Hands-on experience on development for embedded systems, especially on Cortex M-series controller
Experience with lower-level peripherals such as I2C, SPI, and UART",,"Bachelors degree in fields related to computer science and engineering
3+ years of experience using C++ for software development
Knowledge of modern C++ standards (11/14/17) and their best practices
Knowledge of software libraries, such as Boost, OpenML, OpenGL, Cuda, etc.
Experience using Python for scripting and scientific computing
Experience with development on multiple operating systems, including Windows and Linux
Hands-on experience in using version control systems (Git, Mercurial)
Knowledge of code bases at different layers in the software stack
Experience communicating with researchers to understand project scope
Experience approaching software engineering problems systematically and independently"
Software Engineer - Depth Sensing,"Menlo Park, CA","Experience with OS internals and kernel development/debugging for Android and/or Linux.
Experience working on VR, AR and/or MR.
Experience in performance and optimization of CV/ML or image processing software modules.
3+ years experience developing software in C++ for real-time systems.
Experience working collaboratively in cross-functional teams.",,"Bachelor’s degree in Computer Science, Electrical Engineering, Mathematics, Physics, Robotics or related technical field.
3+ years experience developing in C++, Java, Python or C#.
Experience with Software Development processes including: source control, bug tracking, and design documentation."
Software Engineer Prototype,"Menlo Park, CA","Bachelor’s degree in Computer Science or a related field
5+ years of C++ experience, including modern C++ features and techniques
2+ years of Python experience
Experience with OpenCV, Eigen, PCL, Boost
Experience with software development practices such as source control, code reviews, unit testing, debugging and profiling
Experience developing in Linux and Windows","Masters or Ph.D. in Computer Science or a related field
Experience developing machine learning, computer vision, or computer graphics software
Experience with device drivers and low-level coding
Experience with OpenMP, MPI, Hadoop
Experience with MATLAB
Experience with Robotics, Computer Vision, and Computer Graphics","Develop high quality, robust, and reusable, C++ and Python systems for motion capture and head mounted display systems
Collaborate with mechanical, electrical and software engineers and researchers to develop and optimize sensors interface systems, data capture and data analysis tools
Support research initiatives through the development of shared libraries and tools"
Software Developer,"Redmond, WA",Experience with analysis of large data sets,,"BS in Computer Science or a related technical field
10+ years general software development experience
5+ years experience working in a cross-functional software development environment that includes hardware and software integration
C++ coding skills
Experience with computer vision, image processing, or 3D data processing"
"Software Engineer, Facebook Connectivity","Menlo Park, CA","Knowledge of C, C++, and Nix systems.
B.S. or M.S. in Computer Science, Electrical Engineering or a related discipline.
Experience with software design, implementation, and deployment of embedded systems.
Knowledge of real-time operating systems (RTOS), interfaces for data acquisition and control, and device drivers.
Experience with hardware-in-the-loop testing and validation including the use of network test equipment and lab test equipment such as spectrum analyzers, oscilloscopes, and frequency synthesizers.
Knowledge or experience in the following: ARM architecture, small to medium scale software development, test suite development, distributed code repositories, and embedded Linux.","Bachelors or Masters Degree in CS or EE plus at least 5 years of communication software/systems experience.
5+ years experience in embedded C and build systems.
2+ years experience in Python and C++.
Working knowledge of 802.11 standard, communication theory and digital signal processing.
Experience with debugging of integrated HW & SW in lab and field.
Experience with high volume production of communication products.","Drafting software that runs on embedded boards used for communications. This could span from bootloader, firmware running on specialized cores, Linux kernel development and user space applications.
Develop firmware for networking protocols including provisioning and controlling wireless (PHY) hardware.
Development, debugging, and maintenance of the firmware, in conjunction with the low level hardware.
Architecture and design of firmware and platform software, including work with partner teams to ensure consistent design across components.
Developing unit and system level tests, instrumenting test automation for collecting data and characterizing the performance.
Utilize Facebook tools and software development processes to guide the development lifecycle."
FRL Tracking Software Engineer,"Redmond, WA","Experience with sensor fusion
Experience with 3D math and linear algebra
Experience with 3D graphics
Experience with Game engines such as Unreal and Unity
Experience with MATLAB
Experience with Robotics
Experience with Advanced mathematics
Experience with Software optimization, including the use of SIMD instruction sets to improve performance",,"BS degree in Computer Science, Computer Vision, Image Processing, Control & Estimation or related field
5+ years C/C++ experience, including knowledge with C++11 (and up) features and principles
5+ years experience creating software for games, autonomous vehicles, robotics
3+ years experience with sensor input, Bayesian estimation, computer vision, and machine learning
Experience shipping one or more products using standard software development toolsets such as source control and continuous integration systems"
"Software Engineer, Mobile Core Engineering","Dallas, TX","Android OS experience.
Virtual reality experience.
Experience with real-time interactive software development in 3D.",,"3+ years of C and C++ programming experience.
Optimization experience.
Experience designing, implementing and maintaining multiple components in a software stack."
Software Engineer,"Menlo Park, CA","Experience with C/C++ and Python. :Experience with LabWindows/CVI, LabView and/or TestStand.
Experience developing software that interfaces and controls hardware devices over USB/serial/network etc.
Knowledge of displays, cameras, and IMU calibration and calibration requirements.
Knowledge of databases.
Knowledge with configuration management such as Ansible.
Knowledge developing solutions in both Linux and Windows environments.
Proven experience introducing and qualifying manufacturing test solutions to production facilities.
Experience designing and executing development projects with a design of experiment approach (DOE) to service, troubleshoot, and solve engineering problems.
Knowledge in statistical methods (6s, SPC, Cpk) for data analysis in production control processes.","Bachelor’s degree, BSEE or BS Computer Engineering with 5+ years’ experience.","Develop software solutions to perform calibration/testing on AR/VR products.
Test driven development with a focus on automated deployment, and hardware in the loop testing.
Work closely with IT/Infosec to plan requirements and execute the deployment of distributed test systems across multiple vendor sites and programs.
Develops test specifications, procedures, and debug guides for test solutions.
Validation of test SW releases, including repeatability and negative testing, and coordinate SW upgrades with CM/JDM partners.
Capable of troubleshooting and debugging test systems and automation solutions from a software and hardware perspective in full autonomy.
Oversee rollout and validation of SW releases at manufacturing partner.
Work with third-party test integrators in designing, developing and fabricating test systems.
Develop and modify test sequences including measurement and calibration algorithms.
Works closely with other functional groups (TPMs, Electrical Engineering, software/firmware Engineering) to bring the test systems development from the R&D stage all the way through to mass production.
Support failure analysis on systems returned from the field and use data to improve test strategies and processes.
Travel required: up to 20%."
User Interaction Platform Software Engineer,"Redmond, WA","Probability mathematics and software modeling of uncertainty experience
Experience working across disciplines to drive optimal solutions
Experience with Machine learning
Experience with Natural language processing
Experience with constraint programming and constraint solving algorithms
Experience with UI application and UI development frameworks
Experience with Input device frameworks
Experience with 3D graphics engines and graphics frameworks such as Unreal Engine
Experience with Digital signal processing
Experience with audio engines such as WWise or FMOD",,"BS degree in Computer Science, Math, Physics or related field
5+ years C/C++ experience, including knowledge with C++11 (and up) features and principles
5+ years experience creating software for system services, games, or other environments
2+ years experience designing and delivering software APIs and frameworks
2+ years of experience with Linear algebra and 3D geometry skillset
Knowledge of the fundamentals of computer architecture, including aspects such as CPU data caching, SIMD instruction sets, and compiler code generation
Experience shipping one or more products using software development toolsets such as source control and continuous integration systems
Knowledge with mathematical optimization theory or software solvers such as Ceres"
"Software Engineer, Source Control","London, United Kingdom","B.S. or M.S. in Computer Science or related field, or equivalent experience
Experience with systems programming at scale
Strong communication skills","Experience with Rust
Experience working on distributed source control software","Proactively develop server-side source control software in Rust
Lead improvements to underlying Rust code base
Work with other teams at Facebook to realise the full potential of a highly scalable source control server
Open source your work and help others across the industry to adopt it"
