title,location,minimum_qual,preferred_qual,responsibilities
Front End Software Engineer,"Pittsburgh, PA, USA","BA/BS degree or equivalent practical experience.
1 year of work experience in software development.
Experience with server-side web frameworks such as JSP or ASP.Net.
Development experience in C, C++ or Java and experience designing modular, object-oriented JavaScript.","4 years of relevant work experience, including web application experience or skills using AJAX, HTML, CSS or JavaScript.
Programming experience in GWT.
Experience with user interface frameworks such as XUL, Flex, AJAX, and XAML.
Knowledge of user interface design.","Build next-generation web applications with a focus on the client side.
Redesign UI's, Implement new UI's, and pick up Java as necessary.
Engage with back-end systems."
"Software Engineer, HTML5 Video, Google Cloud Platform","Sunnyvale, CA, USA","BS degree in Electrical Engineering or Computer Science or related technical field or equivalent practical experience.
3 years of hands-on experience working with Object-Oriented Programming in JavaScript.
Experience working with JavaScript, HTML and CSS (for Web Player SDKS).
Experience in web application development, developing large software systems.","MS degree in Electrical Engineering or Computer Science or related technical field or equivalent practical experience.
3 years of relevant work experience, and relevant industry experience. Experience with establishing communication between JavaScript modules and web views.
Understanding of event models, and object oriented plugin and module development.
Understanding of core computer science disciplines (data structures, algorithms, etc.) and Object Oriented Programming skills.
Knowledge of Linux development environment and open source tools/platforms. Familiarity with HTML5 video, MSE, and HTLM5 Shaka Player.","Design, implement and launch complex HTML5 video player (Web/OTT) for cloud video services and extend it with new, ground-breaking features from the planning stage through execution to product launch.
Maintain existing SDKs, add plugins to manage video ads and analytics, manage social widgets and control user experience.
Document activities from design to completion and participate in testing of projects.
Write efficient, reusable and stable code for complex application logic.
Use automated testing systems to ensure the perfect user experience at all stages."
Front End Software Engineer,"Pittsburgh, PA, USA","BA/BS in Computer Science or related technical field or equivalent practical experience.
Experience with AJAX, HTML and CSS.
Experience with JavaScript, C++, or Python.
Web application development experience.","Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience developing or designing large software systems.
Experience in GWT and Flash.
Understanding of the principles of accessibility and ability to build products that are accessible to users with disabilities.
Strong written and verbal communication skills, with the ability to create strong working relationships with cross-functional teams.","Design, implement and launch highly-visible, partner and end user-facing features.
Develop new ways for YouTube partners to manage and monetize content.
Design and develop large scale web applications."
"Software Engineer, Google Home","Shanghai, China","Bachelor's degree in Computer Science, Electrical Engineering, related technical field, or equivalent practical experience.
Experience in C/C++ programming.
Experience with Unix/Linux environments and the development of Linux device drivers.","Experience working with hardware designers/reading schematics.
Experience with ARM and/or other low-power SoC architectures.
Experience with Wi-Fi, Ethernet and other networking protocols.
Experience with scope and logic analyzers.
Knowledge of bus protocols such as I2C, SPI, UART, and SDIO.
Excellent technical documentation and communication skills.",Develop the whole software stack for consumer hardware devices.
Front End Software Engineer,"Pittsburgh, PA, USA","Bachelor's degree in a technical field, or equivalent practical experience.
3 years of Android application development experience.
Programming experience in C, C++ or Java.
Experience with server-side web frameworks such as JSP or ASP.Net.","Development experience in designing modular, object-oriented JavaScript.
Experience with user interface frameworks such as XUL, Flex and XAML.
Experience with HTML, JavaScript, CSS and GWT.
Knowledge of user interface design.","Build next-generation web applications with a focus on the client side.
Redesign UI's, Implement new UI's, and pick up Java as necessary.
Engage with back-end systems."
Front End Software Engineer,"Pittsburgh, PA, USA","Master's degree in Electrical Engineering or Computer Science, or equivalent practical experience.
6 years of work experience in development, testing and deployment of wireless communications systems.
Experience with C/C++ for Linux systems.","PhD degree.
Experience with wireless protocols, networking protocol and related software development.
Experience with WiFi/BLE/Zigbee protocol/silicon development.
Excellent written and oral communication skills.","Participate in architecting, developing, testing and deploying complex wireless systems.
Categorize and analyze real-world wireless system, develop optimal system configurations and develop new protocols and/or protocol enhancements to achieve best wireless experience for the user.
Work closely with both internal and external partners on integration of Google Home software stacks with reference and partner platforms."
Front End Software Engineer,"Pittsburgh, PA, USA","BS degree in Computer Science, similar technical field of study or equivalent practical experience
5 years of software development experience in Java, C++, C#, or Golang
Experience in designing and developing large scale distributed systems, API, workflow, concurrency, multithreading and synchronization
Experience in developing Windows Agent software and/or SQL Server features and in designing, implementing, and running SaaS on SQL Server and Windows environment","10 years of relevant work experience in software development
Experience in building infrastructure as service (IasS), platform as a service (PaaS), etc.
Experience in running SQL Server and/or Window production environment for SaaS
Experience in building cloud-based Database or Storage services","Work alongside the Technical Lead to drive long-term technical direction
Own and drive the design and implementation of major components
Help to influence and shape the team's culture and process
Partner with Product Managers to define product direction
Collaborate with other GCP teams to drive alignments. Grow and mentor other engineers."
Software Engineer,"Seoul, South Korea","Bachelor's degree in Computer Science, similar technical field of study or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.","Master’s degree or PhD in Engineering, Computer Science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: C++, Java, C and Python.
Experience in a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning and search technologies.
Excellent written and verbal communication skills.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.
Work closely with product management team to ensure we're building the best products."
"Software Engineer, Infrastructure (English)","Tel Aviv-Yafo, Israel","Bachelor's degree in Computer Science, a related technical field of study or equivalent practical experience.
Software development experience in general purpose programming languages.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing software systems and/or security software development.
Ability to speak and write in English fluently and idiomatically.","Master’s degree.
Experience with Unix/Linux open source developments and communities for kernel/device drivers.
Experience with one or more general purpose programming languages: Java, C/C++, C#, Objective C, Python, JavaScript, Go, etc.
Interest and ability to learn other coding languages as needed.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables."
"Software Engineer, Android","Austin, TX, USA","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
4 years work experience including programming experience in C/C++, Java and/or Python.
Experience on mobile platforms within Linux, Windows and Mac environments.","Experience in API design, performance optimization, client architecture, or tools, in the mobile space.
Expertise in the following areas: performance debugging and optimization of complex workloads, design of performance tools, compiler design and code optimization, high-performance software development techniques, concurrent programming, and/or multi-core computer architectures.
Android SDK knowledge.
Understanding of Android platform and Google Play Services.
Understanding of Android operating system
Demonstrated ability to work with data structures, algorithms and software design optimized for embedded systems.","Manage individual project priorities, deadlines and deliverables.
Design, develop, test, deploy, maintain and enhance software solutions."
